   1QSRCGSR     PASO        SAT177R60C  SQLRPGLE    Convenio Temporada - Califica 170620
   1QSRCGSR     PASO        SAT177R60X  SQLRPGLE    Convenio Temporada - Califica 180101
   1QSRCGSR     PASO        SAT177R60Y  SQLRPGLE    Convenio Temporada - Califica 180108
   1QSRCGSR     PASO        SAT177R601  SQLRPGLE    Convenio Temporada - Califica 170601
   1QSRCGSR     PASO        SAT177R61   RPGLE       Convenio - Alineacion de Origen SAT177F59
   1QSRCGSR     PASO        SAT177R62   RPGLE       Convenio - Alineacion de Origen SAT177F60
   1QSRCGSR     PASO        SAT177R63   SQLRPGLE    Convenio Temporada - Califica Milano
   1QSRCGSR     PASO        SAT177R64   SQLRPGLE    Convenio Temporada - Califica Kaltex
   1QSRCGSR     PASO        SAT177R65   RPGLE       Convenio - Calificacion Allocation
   1QSRCGSR     PASO        SAT177R66   RPGLE       Convenio - Calificacion por tienda y Estilo Alloca
   1QSRCGSR     PASO        SAT177R67   RPGLE       Convenio - Calificacion Pago en Firme
   1QSRCGSR     PASO        SAT177R68   SQLRPGLE    Convenio - Resumen por Tienda, Calificación
   1QSRCGSR     PASO        SAT177R75   SQLRPGLE    Convenio - Administración
006 31/08/19  11:04:31                                                                     PÁGINA    6
   2Archivo     Biblioteca  Miembro     Tipo        TEXT
   1                                    Fuente      Texto'descripción'
   2QSRCGSR     PASO        SAT177R76   SQLRPGLE    Convenio - Seleccion de Estilos por tienda
   1QSRCGSR     PASO        SAT177R88   SQLRPGLE    Convenio - Resumen de Calificaciones x tipo WRK
   1QSRCGSR     PASO        SAT177R963  RPGLE       Convenio - Actualizacion Tabla de accion Masivo
   1QSRCGSR     PASO        SAT177XR01  RPGLE       Convenio - Aplicar Cambios de Precios semana 12
   1QSRCGSR     PASO        SAT177X001  PF          Convenio - Aplicar Cambios de Precios semana 12
   1QSRCGSR     PASO        SAT177YR01  RPGLE       Convenio - Recalificacion Masiva
   1QSRCGSR     PASO        SAT177YR02  RPGLE       Convenio - Revision de segunda calificacion
   1QSRCGSR     PASO        SAT178CL    CLLE        Proveedores invernal - Ejecuta Todo
   1QSRCGSR     PASO        SAT178CL01  CLLE        Calificacion 2016 - Invernarl 25 Dic
   1QSRCGSR     PASO        SAT178CL02  CLLE        Calificacion 2016 - TT 01-31 Diciembre
   1QSRCGSR     PASO        SAT178CL03  CLLE        Calificacion 2016 - 01-Dic-08 Enero
   1QSRCGSR     PASO        SAT178CL06  CLLE        Calificacion 2016 - Invernarl 25 Dic MELODY
   1QSRCGSR     PASO        SAT178CL07  CLLE        Calificacion 2016 - Invernarl 25 Dic KALTEX
   1QSRCGSR     PASO        SAT178FC    PF          Proveedores invernal - Proveedores
   1QSRCGSR     PASO        SAT178FD    PF          Proveedores invernal - Proveedores
   1QSRCGSR     PASO        SAT178F1    PF          Proveedores invernal - Proveedores
   1QSRCGSR     PASO        SAT178F1A   PF          Proveedores invernal - Proveedores Milano
   1QSRCGSR     PASO        SAT178F1A1  PF          Proveedores invernal - Proveedores Milano
   1QSRCGSR     PASO        SAT178F1B   PF          Proveedores invernal - Proveedores Melody
   1QSRCGSR     PASO        SAT178F1C   PF          Proveedores invernal - Proveedores Import 2014
   1QSRCGSR     PASO        SAT178F1D   PF          Proveedores invernal - Proveedores Import 2013
   1QSRCGSR     PASO        SAT178F1E   PF          Proveedores invernal - Proveedores Jerarq 2014
   1QSRCGSR     PASO        SAT178F1EH  PF          Calificacion 2016 - Invernal 25 Dic melody
   1QSRCGSR     PASO        SAT178F1EJ  PF          Calificacion 2016 - Invernal 25 Dic Kaltex
   1QSRCGSR     PASO        SAT178F1EQ  PF          Calificacion 2016 - 01-Dic-08 Enero
   1QSRCGSR     PASO        SAT178F1EW  PF          Calificacion 2016 - TT 01-25 Diciembre
   1QSRCGSR     PASO        SAT178F1EZ  PF          Calificacion 2016 - Invernal 25 Dic
   1QSRCGSR     PASO        SAT178F1F   PF          Proveedores invernal - Proveedores Jerarq 2013
   1QSRCGSR     PASO        SAT178F1G   PF          Proveedores invernal - Tiendas a Resurtir
   1QSRCGSR     PASO        SAT178F1H   PF          Calificacion 2016 - Invernal 25 Dic melody
   1QSRCGSR     PASO        SAT178F1J   PF          Calificacion 2016 - Invernal 25 Dic Kaltex
   1QSRCGSR     PASO        SAT178F1Q   PF          Calificacion 2016 - 01-Dic-08 Enero
   1QSRCGSR     PASO        SAT178F1W   PF          Calificacion 2016 - TT 01-25 Diciembre
   1QSRCGSR     PASO        SAT178F1X   PF          Proveedores invernal - Proveedores Milano
   1QSRCGSR     PASO        SAT178F1Z   PF          Calificacion 2016 - Invernal 25 Dic
   1QSRCGSR     PASO        SAT178F2    PF          Proveedores invernal - Reporte final Milano
   1QSRCGSR     PASO        SAT178F2B   PF          Proveedores invernal - Reporte final Melody
   1QSRCGSR     PASO        SAT178F2C   PF          Proveedores invernal - Reporte final Import 2014
   1QSRCGSR     PASO        SAT178F2D   PF          Proveedores invernal - Reporte final Import 2013
   1QSRCGSR     PASO        SAT178F2E   PF          Proveedores invernal - Reporte final Jerarq 2014
   1QSRCGSR     PASO        SAT178F2EH  PF          Calificacion 2016 - Invernal 25 Dic MELODY
   1QSRCGSR     PASO        SAT178F2EJ  PF          Calificacion 2016 - Invernal 25 Dic Kaltex
   1QSRCGSR     PASO        SAT178F2EQ  PF          Calificacion 2016 - 01-Dic-08 Enero
   1QSRCGSR     PASO        SAT178F2EW  PF          Calificacion 2016 - TT 01-25 Diciembre
   1QSRCGSR     PASO        SAT178F2EZ  PF          Calificacion 2016 - Invernal 25 Dic
   1QSRCGSR     PASO        SAT178F2F   PF          Proveedores invernal - Reporte final Jerarq 2013
   1QSRCGSR     PASO        SAT178F2G   PF          Proveedores invernal - Resurtido de Tiendas
   1QSRCGSR     PASO        SAT178F2GB  PF          Proveedores invernal - Resurtido de Tiendas
   1QSRCGSR     PASO        SAT178F3    PF          Proveedores invernal - Recibos
   1QSRCGSR     PASO        SAT178F3C   PF          Proveedores invernal - Recibos
006 31/08/19  11:04:31                                                                     PÁGINA    7
   2Archivo     Biblioteca  Miembro     Tipo        TEXT
   1                                    Fuente      Texto'descripción'
   2QSRCGSR     PASO        SAT178F3D   PF          Proveedores invernal - Recibos
